net,sta,loc,ch,lat,lon,wZ,wN,wE
IA,JSBFM,,BH,-8.8716567,116.8164717,-1.0,-1.0,-1.0
IA,JTJM,00,SH,-7.0573,106.8015,1.0,0.9,0.9
IA,JWJM,00,SH,-7.206245,110.731458,1.0,0.9,1.0
IA,KABKI,00,SH,-0.750684,116.241898,1.0,0.7,0.6
IA,KAKKI,00,SH,1.366887,117.750031,-1.0,-1.0,-1.0
IA,KARPI,,SH,-0.061,130.991,1.0,1.0,1.0
IA,KASAI,,SH,2.491893,97.858239,1.0,1.0,1.0
IA,KASI,,SH,-5.5236,104.4967,0.9,0.9,0.8
IA,KASI,,BH,-5.5236,104.4967,-1.0,-1.0,-1.0
IA,KBBI,,SH,-8.286,115.2547,1.0,1.0,1.0
IA,KBBI,,BH,-8.286,115.2547,-1.0,-1.0,-1.0
IA,KBJM,00,SH,-7.0505,111.2329,1.0,0.6,0.8
IA,KBKI,,SH,-3.2995,116.1668,-1.0,-1.0,-1.0
IA,KBSSI,,SH,-9.593,118.993,1.0,1.0,1.0
IA,KCSI,,SH,3.522,97.7715,1.0,1.0,0.9
IA,KCSI,,BH,3.522,97.7715,-1.0,-1.0,-1.0
IA,KDI,00,HH,-3.95743,122.61926,1.0,1.0,1.0
IA,KDI,01,HH,-3.95743,122.61926,1.0,1.0,1.0
IA,KGCM,00,SH,0.639702,122.851648,0.8,0.5,0.5
IA,KHK,00,HH,-8.36404,115.60964,0.3,0.4,0.4
IA,KHK,01,HH,-8.36404,115.60964,0.3,0.4,0.4
IA,KHSSI,,SH,-9.801,119.945,1.0,1.0,1.0
IA,KIMPI,,SH,-7.979,138.852,-1.0,-1.0,-1.0
IA,KJCM,,SH,-5.5646,119.8026,1.0,1.0,1.0
IA,KJCM,,BH,-5.5646,119.8026,-1.0,-1.0,-1.0
IA,KJPI,,SH,-6.155971,106.842266,1.0,0.6,0.6
IA,KJPI,00,SH,-6.155971,106.842266,1.0,0.6,0.6
IA,KKJM,00,SH,-7.843384,110.057248,1.0,1.0,1.0
IA,KKKI,00,SH,-2.5137,110.1951,0.6,0.7,0.4
IA,KKKKI,,SH,-1.871143,113.419801,1.0,1.0,1.0
IA,KKMI,00,SH,-5.6923,132.718,-1.0,-1.0,-1.0
IA,KKSI,,SH,-4.1718,121.6513,0.3,1.0,1.0
IA,KKTKI,,SH,1.186094,116.949317,1.0,1.0,1.0
IA,KLI,,SH,-4.8363,104.87052,1.0,1.0,0.9
IA,KLJI,,SH,-7.99607,113.25175,1.0,1.0,0.9
IA,KLJI,,BH,-7.99607,113.25175,-1.0,-1.0,-1.0
IA,KLNI,,SH,-8.42188,116.09492,1.0,1.0,1.0
IA,KLSI,,SH,-4.6871,104.7317,-1.0,-1.0,-1.0
IA,KLSI,,BH,-4.6871,104.7317,-1.0,-1.0,-1.0
IA,KLSM,00,SH,3.0863,97.3298,0.7,0.5,0.7
IA,KMBFM,,SH,-8.5654217,120.31311,1.0,0.6,0.6
IA,KMBFM,,BH,-8.5654217,120.31311,-1.0,-1.0,-1.0
IA,KMMI,,SH,-7.0412,113.9157,-1.0,-1.0,-1.0
IA,KMNI,,SH,-8.5883,116.0995,1.0,0.7,0.8
IA,KMPI,,SH,-3.6616,133.7044,-1.0,-1.0,-1.0
